2026-04-08 15:19:31,702 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 padha
2026-04-08 15:19:32,006 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 padha
2026-04-08 15:19:32,306 | Agent: AGENT-DR01 | Status: SUCCESS | Database se 50 records fetch kiye
2026-04-08 15:19:33,620 | Agent: AGENT-AC01 | Status: SUCCESS | API call bheji: /api/users
2026-04-08 15:19:34,131 | Agent: AGENT-AC01 | Status: SUCCESS | API response mila: /api/users - 200 OK
2026-04-08 15:19:35,137 | Agent: AGENT-FA01 | Status: SUCCESS | File open ki: user_data.csv
2026-04-08 15:19:35,444 | Agent: AGENT-FA01 | Status: SUCCESS | File successfully read: user_data.csv
2026-04-08 15:19:36,461 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Data padhne ki koshish ki - ACCESS DENIED
2026-04-08 15:19:36,974 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | API call karne ki koshish: /api/secret - BLOCKED
2026-04-08 15:19:37,480 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 padha
2026-04-08 15:19:37,794 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 padha
2026-04-08 15:19:38,097 | Agent: AGENT-DR01 | Status: SUCCESS | Database se 50 records fetch kiye
2026-04-08 15:19:38,397 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Data padhne ki koshish ki - ACCESS DENIED
2026-04-08 15:19:38,397 | Agent: AGENT-AC01 | Status: SUCCESS | API call bheji: /api/agents
2026-04-08 15:19:38,898 | Agent: AGENT-AC01 | Status: SUCCESS | API response mila: /api/agents - 200 OK
2026-04-08 15:19:38,898 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | API call karne ki koshish: /api/admin - BLOCKED
2026-04-10 15:01:40,820 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-10 15:01:41,122 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-10 15:01:41,425 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-10 15:01:42,741 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-10 15:01:43,243 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-10 15:01:44,246 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-10 15:01:44,554 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-10 15:01:45,563 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-10 15:01:46,085 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-10 15:01:46,588 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-10 15:01:46,896 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-10 15:01:47,205 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-10 15:01:47,512 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-10 15:01:47,512 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/agents
2026-04-10 15:01:48,017 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/agents - 200 OK
2026-04-10 15:01:48,017 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/admin - BLOCKED
2026-04-10 15:46:20,520 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-10 15:46:20,831 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-10 15:46:21,134 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-10 15:46:22,446 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-10 15:46:22,959 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-10 15:46:23,969 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-10 15:46:24,271 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-11 23:05:41,552 | Agent: TEST-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-11 23:05:41,857 | Agent: TEST-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-11 23:05:42,184 | Agent: TEST-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-11 23:05:42,561 | Agent: TEST-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-11 23:05:43,078 | Agent: TEST-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-11 23:05:43,078 | Agent: TEST-AC01 | Status: SUCCESS | API call sent to: /api/data
2026-04-11 23:05:43,591 | Agent: TEST-AC01 | Status: SUCCESS | API response received from: /api/data - 200 OK
2026-04-11 23:05:43,593 | Agent: TEST-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-11 23:05:43,897 | Agent: TEST-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-11 23:05:43,897 | Agent: TEST-FA01 | Status: SUCCESS | File opened: config.json
2026-04-11 23:05:44,198 | Agent: TEST-FA01 | Status: SUCCESS | File read successfully: config.json
2026-04-11 23:09:26,876 | Agent: TEST-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-11 23:09:27,181 | Agent: TEST-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-11 23:09:27,495 | Agent: TEST-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-11 23:09:27,808 | Agent: TEST-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-11 23:09:28,314 | Agent: TEST-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-11 23:09:28,314 | Agent: TEST-AC01 | Status: SUCCESS | API call sent to: /api/data
2026-04-11 23:09:28,820 | Agent: TEST-AC01 | Status: SUCCESS | API response received from: /api/data - 200 OK
2026-04-11 23:09:28,820 | Agent: TEST-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-11 23:09:29,126 | Agent: TEST-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-11 23:09:29,126 | Agent: TEST-FA01 | Status: SUCCESS | File opened: config.json
2026-04-11 23:09:29,427 | Agent: TEST-FA01 | Status: SUCCESS | File read successfully: config.json
2026-04-14 18:43:31,732 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-14 18:43:32,034 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-14 18:43:32,336 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-14 18:43:32,637 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-14 18:43:32,639 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-14 18:43:33,140 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-14 18:43:33,140 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/data
2026-04-14 18:43:33,641 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/data - 200 OK
2026-04-14 18:43:33,643 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-14 18:43:33,644 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-14 18:43:33,945 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-14 18:43:33,945 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: config.json
2026-04-14 18:43:34,246 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: config.json
2026-04-14 18:43:34,247 | Agent: AGENT-HACK03 | Status: UNAUTHORIZED | Attempted to access file: secret.csv - DENIED
2026-04-14 23:55:46,876 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-14 23:55:47,186 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-14 23:55:47,492 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-14 23:55:48,793 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-14 23:55:49,294 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-14 23:55:50,295 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-14 23:55:50,595 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-14 23:55:51,598 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-14 23:55:52,099 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-14 23:55:52,602 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-14 23:55:52,903 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-14 23:55:53,204 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-14 23:55:53,505 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-14 23:55:53,506 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/agents
2026-04-14 23:55:54,009 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/agents - 200 OK
2026-04-14 23:55:54,010 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/admin - BLOCKED
2026-04-14 23:56:27,968 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-14 23:56:28,269 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-14 23:56:28,571 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-14 23:56:28,874 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-14 23:56:28,876 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-14 23:56:29,379 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-14 23:56:29,380 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/data
2026-04-14 23:56:29,882 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/data - 200 OK
2026-04-14 23:56:29,884 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-14 23:56:29,886 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-14 23:56:30,188 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-14 23:56:30,189 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: config.json
2026-04-14 23:56:30,490 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: config.json
2026-04-14 23:56:30,491 | Agent: AGENT-HACK03 | Status: UNAUTHORIZED | Attempted to access file: secret.csv - DENIED
2026-04-15 00:01:41,687 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 00:01:41,989 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-15 00:01:42,290 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-15 00:01:42,593 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-15 00:01:42,596 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-15 00:01:43,097 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-15 00:01:43,097 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/data
2026-04-15 00:01:43,598 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/data - 200 OK
2026-04-15 00:01:43,599 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-15 00:01:43,600 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-15 00:01:43,902 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-15 00:01:43,903 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: config.json
2026-04-15 00:01:44,205 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: config.json
2026-04-15 00:01:44,207 | Agent: AGENT-HACK03 | Status: UNAUTHORIZED | Attempted to access file: secret.csv - DENIED
2026-04-15 18:53:40,011 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 18:53:40,312 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
